הוא,third,singular,nominative,masculine
היא,third,singular,nominative,feminine
הם,third,plural,nominative,masculine
הן,third,plural,nominative,feminine
אתה,second,singular,nominative,masculine
את,second,singular,nominative,feminine
אתם,second,plural,nominative,masculine
אתן,second,plural,nominative,feminine
אני,first,singular,nominative
אנחנו,first,plural,nominative
ו,third,singular,genitive,masculine
ה,third,singular,genitive,feminine
ם,third,plural,genitive,masculine
ן,third,plural,genitive,feminine
ך,second,singular,genitive
ךְ,second,singular,genitive,masculine
ךָ,second,singular,genitive,feminine
כם,second,plural,genitive,masculine
כן,second,plural,genitive,feminine
י,first,singular,genitive
נו,first,plural,genitive
עצמו,third,singular,reflexive,masculine
עצמה,third,singular,reflexive,feminine
עצמם,third,plural,reflexive,masculine
עצמן,third,plural,reflexive,feminine
עצמך,second,singular,reflexive
עצמךְ,second,singular,reflexive,masculine
עצמךָ,second,singular,reflexive,feminine
עצמכם,second,plural,reflexive,masculine
עצמכן,second,plural,reflexive,feminine
עצמי,first,singular,reflexive
עצמנו,first,plural,reflexive