ze,third,singular,emphasis,nominative
hij,third,singular,stressed,nominative,masculine
ie,third,singular,unstressed,nominative,masculine
zij,third,singular,stressed,nominative,feminine
ze,third,singular,unstressed,nominative,feminine
het,third,singular,stressed,nominative,neuter
't,third,singular,unstressed,nominative,neuter
zij,third,plural,stressed,nominative,gender
ze,third,plural,unstressed,nominative,gender
jij,second,singular,stressed,nominative
je,second,singular,unstressed,nominative
jullie,second,plural,stressed,nominative
je,second,plural,unstressed,nominative
ik,first,singular,stressed,nominative
'k,first,singular,unstressed,nominative
wij,first,plural,stressed,nominative
we,first,plural,unstressed,nominative
ze,third,singular,emphasis,accusative
hem,third,singular,stressed,accusative,masculine
'm,third,singular,unstressed,accusative,masculine
haar,third,singular,stressed,accusative,feminine
h'r,third,singular,unstressed,accusative,feminine
het,third,singular,stressed,accusative,neuter
't,third,singular,unstressed,accusative,neuter
hen,third,plural,stressed,accusative,gender
ze,third,plural,unstressed,accusative,gender
jou,second,singular,stressed,accusative
je,second,singular,unstressed,accusative
jullie,second,plural,stressed,accusative
je,second,plural,unstressed,accusative
mij,first,singular,stressed,accusative
me,first,singular,unstressed,accusative
ons,first,plural,emphasis,accusative
hun,third,plural,stressed,dative,gender
ze,third,singular,emphasis,dependent,genitive
zijn,third,singular,stressed,dependent,genitive,masculine
z'n,third,singular,unstressed,dependent,genitive,masculine
haar,third,singular,stressed,dependent,genitive,feminine
h'r,third,singular,unstressed,dependent,genitive,feminine
zijn,third,singular,stressed,dependent,genitive,neuter
z'n,third,singular,unstressed,dependent,genitive,neuter
hun,third,plural,stressed,dependent,genitive,gender
ze,third,plural,unstressed,dependent,genitive,gender
jouw,second,singular,stressed,dependent,genitive
je,second,singular,unstressed,dependent,genitive
jullie,second,plural,stressed,dependent,genitive
je,second,plural,unstressed,dependent,genitive
mijn,first,singular,stressed,dependent,genitive
m'n,first,singular,unstressed,dependent,genitive
ons,first,plural,emphasis,dependent,genitive
zijne,third,singular,independent,genitive,masculine
hare,third,singular,independent,genitive,feminine
zijne,third,singular,independent,genitive,neuter
hunne,third,plural,independent,genitive,gender
jouwe,second,singular,independent,genitive
uwe,second,plural,independent,genitive
mijne,first,singular,independent,genitive
onze,first,plural,independent,genitive
zich,third,number,reflexive,gender
je,second,number,reflexive
me,first,singular,reflexive
ons,first,plural,reflexive