मैं,first,singular,direct
मैंने,first,singular,ergative
मुझे,first,singular,accusative
हम,first,plural,direct
हमने,first,plural,ergative
हमें,first,plural,accusative
मेरा,first,singular,genitive,dependency=singular,dependency=masculine
मेरे,first,singular,genitive,dependency=plural,dependency=masculine
मेरी,first,singular,genitive,dependency=singular,dependency=feminine
मेरी,first,singular,genitive,dependency=plural,dependency=feminine
हमारा,first,plural,genitive,dependency=singular,dependency=masculine
हमारे,first,plural,genitive,dependency=plural,dependency=masculine
हमारी,first,plural,genitive,dependency=singular,dependency=feminine
हमारी,first,plural,genitive,dependency=plural,dependency=feminine
तू,second,singular,direct,intimate
तूने,second,singular,ergative,intimate
तुझे,second,singular,accusative,intimate
तुम,second,number,direct,informal
तुम,second,plural,direct,intimate
तुमने,second,number,ergative,informal
तुमने,second,plural,ergative,intimate
तुम्हें,second,number,accusative,informal
तुम्हें,second,plural,accusative,intimate
आप,second,number,direct,formal
आपने,second,number,ergative,formal
आपको,second,number,accusative,formal
तेरा,second,singular,genitive,dependency=singular,dependency=masculine,intimate
तेरे,second,singular,genitive,dependency=plural,dependency=masculine,intimate
तेरी,second,singular,genitive,dependency=singular,dependency=feminine,intimate
तेरी,second,singular,genitive,dependency=plural,dependency=feminine,intimate
तुम्हारा,second,number,genitive,dependency=singular,dependency=masculine,informal
तुम्हारे,second,number,genitive,dependency=plural,dependency=masculine,informal
तुम्हारी,second,number,genitive,dependency=singular,dependency=feminine,informal
तुम्हारी,second,number,genitive,dependency=plural,dependency=feminine,informal
आपका,second,number,genitive,dependency=singular,dependency=masculine,formal
आपके,second,number,genitive,dependency=plural,dependency=masculine,formal
आपकी,second,number,genitive,dependency=singular,dependency=feminine,formal
आपकी,second,number,genitive,dependency=plural,dependency=feminine,formal