loro ,third,plural,gender,nominative
lui ,third,singular,masculine,nominative
lei ,third,singular,feminine,nominative
essi ,third,plural,masculine,nominative
esse ,third,plural,feminine,nominative
Tu ,second,singular,gender,nominative
Voi ,second,plural,gender,nominative
Io ,first,singular,gender,nominative
Noi ,first,plural,gender,nominative
lo ,third,singular,masculine,accusative,unstressed,dependency=consonant-start
la ,third,singular,feminine,accusative,unstressed,dependency=consonant-start
li ,third,plural,masculine,accusative,unstressed,dependency=consonant-start
le ,third,plural,feminine,accusative,unstressed,dependency=consonant-start
l’,third,singular,masculine,accusative,unstressed,dependency=vowel-start
ti ,second,singular,accusative,unstressed,dependency=consonant-start
t’,second,singular,accusative,unstressed,dependency=vowel-start
vi ,second,plural,accusative,unstressed,dependency=consonant-start
v’,second,plural,accusative,unstressed,dependency=vowel-start
mi ,first,singular,accusative,unstressed,dependency=consonant-start
m’,first,singular,accusative,unstressed,dependency=vowel-start
ci ,first,plural,accusative,unstressed,dependency=consonant-start
c’,first,plural,accusative,unstressed,dependency=vowel-start
lui ,third,singular,masculine,accusative,stressed
lei ,third,singular,feminine,accusative,stressed
loro ,third,plural,gender,accusative,stressed
te ,second,singular,accusative,stressed,dependency=consonant-start
t’,second,singular,accusative,stressed,dependency=vowel-start
voi ,second,plural,accusative,stressed
me ,first,singular,accusative,stressed,dependency=consonant-start
m’,first,singular,accusative,stressed,dependency=vowel-start
noi ,first,plural,accusative,stressed
gli ,third,singular,masculine,dative,unstressed
le ,third,singular,feminine,dative,unstressed,dependency=consonant-start
l’,third,singular,feminine,dative,unstressed,dependency=vowel-start
loro ,third,plural,gender,dative,unstressed
ti ,second,singular,dative,unstressed,dependency=consonant-start
t’,second,singular,dative,unstressed,dependency=vowel-start
vi ,second,plural,dative,unstressed,dependency=consonant-start
v’,second,plural,dative,unstressed,dependency=vowel-start
mi ,first,singular,dative,unstressed,dependency=consonant-start
m’,first,singular,dative,unstressed,dependency=vowel-start
ci ,first,plural,dative,unstressed,dependency=consonant-start
c’,first,plural,dative,unstressed,dependency=vowel-start
lui ,third,singular,masculine,dative,stressed
lei ,third,singular,feminine,dative,stressed
loro ,third,plural,gender,dative,stressed
te ,second,singular,dative,stressed,dependency=consonant-start
t’,second,singular,dative,stressed,dependency=vowel-start
voi ,second,plural,dative,stressed
me ,first,singular,dative,stressed,dependency=consonant-start
m’,first,singular,dative,stressed,dependency=vowel-start
noi ,first,plural,dative,stressed
si ,third,number,gender,reflexive,unstressed,dependency=consonant-start
s’,third,number,gender,reflexive,unstressed,dependency=vowel-start
ti ,second,singular,gender,reflexive,unstressed,dependency=consonant-start
t’,second,singular,gender,reflexive,unstressed,dependency=vowel-start
vi ,second,plural,gender,reflexive,unstressed,dependency=consonant-start
mi ,first,singular,gender,reflexive,unstressed,dependency=consonant-start
m’,first,singular,gender,reflexive,unstressed,dependency=vowel-start
ci ,first,plural,gender,reflexive,unstressed,dependency=consonant-start
sé ,third,number,gender,reflexive,stressed,dependency=consonant-start
s’,third,number,gender,reflexive,stressed,dependency=vowel-start
te ,second,singular,gender,reflexive,stressed,dependency=consonant-start
t’,second,singular,gender,reflexive,stressed,dependency=vowel-start
voi ,second,plural,gender,reflexive,stressed,dependency=consonant-start
me ,first,singular,gender,reflexive,stressed,dependency=consonant-start
m’,first,singular,gender,reflexive,stressed,dependency=vowel-start
noi ,first,plural,gender,reflexive,stressed,dependency=vowel-start
mio ,first,singular,dependency=singular,dependency=masculine,genitive
miei ,first,singular,dependency=plural,dependency=masculine,genitive
mia ,first,singular,dependency=singular,dependency=feminine,genitive
mie ,first,singular,dependency=plural,dependency=feminine,genitive
nostro ,first,plural,dependency=singular,dependency=masculine,genitive
nostri ,first,plural,dependency=plural,dependency=masculine,genitive
nostra ,first,plural,dependency=singular,dependency=feminine,genitive
nostre ,first,plural,dependency=plural,dependency=feminine,genitive
tuo ,second,singular,dependency=singular,dependency=masculine,genitive
tuoi ,second,singular,dependency=plural,dependency=masculine,genitive
tua ,second,singular,dependency=singular,dependency=feminine,genitive
tue ,second,singular,dependency=plural,dependency=feminine,genitive
vostro ,second,plural,dependency=singular,dependency=masculine,genitive
vostri ,second,plural,dependency=plural,dependency=masculine,genitive
vostra ,second,plural,dependency=singular,dependency=feminine,genitive
vostre ,second,plural,dependency=plural,dependency=feminine,genitive
suo ,third,singular,dependency=singular,dependency=masculine,genitive
suoi ,third,singular,dependency=plural,dependency=masculine,genitive
sua ,third,singular,dependency=singular,dependency=feminine,genitive
sue ,third,singular,dependency=plural,dependency=feminine,genitive
loro ,third,plural,dependency=number,dependency=gender,genitive