onlar,third,plural,nominative
o,third,singular,nominative
siz,second,plural,nominative
sen,second,singular,nominative
biz,first,plural,nominative
ben,first,singular,nominative
onları,third,plural,accusative
onu,third,singular,accusative
sizi,second,plural,accusative
seni,second,singular,accusative
bizi,first,plural,accusative
beni,first,singular,accusative
onlara,third,plural,dative
ona,third,singular,dative
size,second,plural,dative
sana,second,singular,dative
bize,first,plural,dative
bana,first,singular,dative
onlarda,third,plural,locative
onda,third,singular,locative
sizde,second,plural,locative
sende,second,singular,locative
bizde,first,plural,locative
bende,first,singular,locative
onlardan,third,plural,ablative
ondan,third,singular,ablative
sizden,second,plural,ablative
senden,second,singular,ablative
bizden,first,plural,ablative
benden,first,singular,ablative
onların,third,plural,genitive
onun,third,singular,genitive
sizin,second,plural,genitive
senin,second,singular,genitive
bizim,first,plural,genitive
benim,first,singular,genitive
kendileri,third,plural,reflexive
kendiniz,second,plural,reflexive
kendimiz,first,plural,reflexive
kendisi,third,singular,reflexive
kendin,second,singular,reflexive
kendim,first,singular,reflexive